x , y
17.9461, 0.98358
17.9426, 1.0151
17.939, 1.04662
17.9352, 1.07814
17.9314, 1.10964
17.9274, 1.14114
17.9234, 1.17263
17.9192, 1.20412
17.9149, 1.23559
17.9105, 1.26706
17.906, 1.29852
17.9013, 1.32998
17.8966, 1.36142
17.8917, 1.39286
17.8868, 1.42428
17.8817, 1.4557
17.8765, 1.48711
17.8712, 1.51851
17.8658, 1.5499
17.8603, 1.58128
17.8546, 1.61266
17.8489, 1.64402
17.843, 1.67537
17.8371, 1.70671
17.831, 1.73804
17.8248, 1.76936
17.8185, 1.80067
17.8121, 1.83196
17.8056, 1.86325
17.7989, 1.89452
17.7922, 1.92578
17.7853, 1.95703
17.7783, 1.98827
17.7712, 2.01949
17.764, 2.05071
17.7567, 2.0819
17.7493, 2.11309
17.7418, 2.14426
17.7341, 2.17542
17.7264, 2.20657
17.7185, 2.2377
17.7105, 2.26882
17.7024, 2.29992
17.6942, 2.33101
17.6859, 2.36208
17.6775, 2.39314
17.669, 2.42418
17.6603, 2.45521
17.6515, 2.48622
17.6427, 2.51722
17.6337, 2.5482
17.6246, 2.57917
17.6154, 2.61011
17.606, 2.64104
17.5966, 2.67196
17.587, 2.70286
17.5774, 2.73374
17.5676, 2.7646
17.5577, 2.79544
17.5477, 2.82627
17.5376, 2.85708
17.5274, 2.88787
17.517, 2.91864
17.5066, 2.9494
17.496, 2.98013
17.4853, 3.01085
17.4746, 3.04154
17.4637, 3.07222
17.4526, 3.10287
17.4415, 3.13351
17.4303, 3.16413
17.4189, 3.19472
17.4075, 3.2253
17.3959, 3.25585
17.3842, 3.28638
17.3724, 3.31689
17.3605, 3.34738
17.3484, 3.37785
17.3363, 3.4083
17.324, 3.43872
17.3117, 3.46912
17.2992, 3.4995
17.2866, 3.52986
17.2739, 3.56019
17.261, 3.5905
17.2481, 3.62078
17.2351, 3.65105
17.2219, 3.68128
17.2086, 3.7115
17.1952, 3.74169
17.1817, 3.77185
17.1681, 3.80199
17.1544, 3.8321
17.1405, 3.86219
17.1266, 3.89226
17.1125, 3.92229
17.0983, 3.9523
17.084, 3.98229
17.0696, 4.01225
17.0551, 4.04218
17.0404, 4.07208
17.0257, 4.10196
17.0108, 4.13181
16.9958, 4.16163
16.9807, 4.19143
16.9655, 4.22119
16.9502, 4.25093
16.9347, 4.28064
16.9192, 4.31032
16.9035, 4.33997
16.8877, 4.36959
16.8718, 4.39918
16.8558, 4.42874
16.8397, 4.45827
16.8234, 4.48777
16.8071, 4.51724
16.7906, 4.54668
16.774, 4.57609
16.7573, 4.60547
16.7405, 4.63482
16.7235, 4.66413
16.7065, 4.69341
16.6893, 4.72266
16.6721, 4.75188
16.6547, 4.78106
16.6372, 4.81021
16.6195, 4.83933
16.6018, 4.86841
16.5839, 4.89746
16.566, 4.92648
16.5479, 4.95546
16.5297, 4.98441
16.5114, 5.01332
16.4929, 5.0422
16.4744, 5.07104
16.4557, 5.09985
16.4369, 5.12862
16.418, 5.15735
16.399, 5.18605
16.3799, 5.21471
16.3607, 5.24333
16.3413, 5.27192
16.3218, 5.30047
16.3022, 5.32898
16.2825, 5.35745
16.2627, 5.38589
16.2428, 5.41429
16.2227, 5.44264
16.2025, 5.47096
16.1822, 5.49924
16.1618, 5.52748
16.1413, 5.55568
16.1207, 5.58384
16.0999, 5.61196
16.079, 5.64004
16.058, 5.66807
16.0369, 5.69607
16.0157, 5.72402
15.9943, 5.75194
15.9729, 5.77981
15.9513, 5.80763
15.9296, 5.83542
15.9078, 5.86316
15.8859, 5.89086
15.8638, 5.91852
15.8417, 5.94613
15.8194, 5.97369
15.797, 6.00122
15.7744, 6.02869
15.7518, 6.05613
15.7291, 6.08351
15.7062, 6.11086
15.6832, 6.13815
15.6601, 6.1654
15.6369, 6.1926
15.6135, 6.21976
15.59, 6.24687
15.5665, 6.27393
15.5428, 6.30094
15.5189, 6.32791
15.495, 6.35483
15.4709, 6.38169
15.4468, 6.40851
15.4225, 6.43528
15.3981, 6.462
15.3735, 6.48867
15.3489, 6.51529
15.3241, 6.54186
15.2992, 6.56838
15.2742, 6.59485
15.2491, 6.62127
15.2238, 6.64763
15.1984, 6.67394
15.173, 6.7002
15.1473, 6.72641
15.1216, 6.75256
15.0958, 6.77866
15.0698, 6.80471
15.0437, 6.8307
15.0175, 6.85663
14.9912, 6.88252
14.9647, 6.90834
14.9382, 6.93412
14.9115, 6.95983
14.8847, 6.98549
14.8577, 7.01109
14.8307, 7.03664
14.8035, 7.06213
14.7762, 7.08756
14.7488, 7.11293
14.7213, 7.13825
14.6936, 7.1635
14.6658, 7.1887
14.6379, 7.21384
14.6099, 7.23892
14.5818, 7.26393
14.5535, 7.28889
14.5251, 7.31379
14.4966, 7.33862
14.468, 7.3634
14.4393, 7.38811
14.4104, 7.41276
14.3814, 7.43734
14.3523, 7.46187
14.3231, 7.48633
14.2937, 7.51072
14.2642, 7.53506
14.2346, 7.55932
14.2049, 7.58353
14.175, 7.60766
14.1451, 7.63173
14.115, 7.65574
14.0848, 7.67968
14.0544, 7.70355
14.024, 7.72735
13.9934, 7.75109
13.9627, 7.77476
13.9318, 7.79836
13.9009, 7.82189
13.8698, 7.84535
13.8386, 7.86874
13.8073, 7.89206
13.7758, 7.91531
13.7443, 7.93849
13.7126, 7.9616
13.6808, 7.98464
13.6488, 8.0076
13.6168, 8.03049
13.5846, 8.05331
13.5523, 8.07605
13.5198, 8.09872
13.4872, 8.12132
13.4546, 8.14384
13.4217, 8.16629
13.3888, 8.18866
13.3558, 8.21095
13.3226, 8.23317
13.2893, 8.25531
13.2558, 8.27737
13.2223, 8.29935
13.1886, 8.32126
13.1548, 8.34308
13.1208, 8.36483
13.0868, 8.3865
13.0526, 8.40808
13.0183, 8.42959
12.9838, 8.45101
12.9493, 8.47236
12.9146, 8.49362
12.8798, 8.51479
12.8448, 8.53589
12.8097, 8.5569
12.7746, 8.57782
12.7392, 8.59867
12.7038, 8.61942
12.6682, 8.64009
12.6325, 8.66068
12.5967, 8.68117
12.5607, 8.70158
12.5247, 8.72191
12.4885, 8.74214
12.4521, 8.76228
12.4157, 8.78234
12.3791, 8.80231
12.3424, 8.82218
12.3055, 8.84197
12.2685, 8.86166
12.2314, 8.88126
12.1942, 8.90077
12.1569, 8.92018
12.1194, 8.93951
12.0818, 8.95873
12.0441, 8.97786
12.0062, 8.9969
11.9682, 9.01584
11.9301, 9.03469
11.8918, 9.05344
11.8535, 9.07209
11.815, 9.09064
11.7763, 9.10909
11.7376, 9.12744
11.6987, 9.1457
11.6597, 9.16385
11.6205, 9.1819
11.5812, 9.19985
11.5418, 9.2177
11.5023, 9.23545
11.4626, 9.25309
11.4229, 9.27063
11.3829, 9.28806
11.3429, 9.30539
11.3027, 9.32261
11.2624, 9.33972
11.222, 9.35673
11.1814, 9.37363
11.1407, 9.39042
11.0999, 9.4071
11.0589, 9.42367
11.0178, 9.44013
10.9766, 9.45648
10.9353, 9.47272
10.8938, 9.48884
10.8522, 9.50485
10.8105, 9.52075
10.7686, 9.53653
10.7266, 9.5522
10.6845, 9.56775
10.6422, 9.58318
10.5998, 9.5985
10.5573, 9.6137
10.5147, 9.62878
10.4719, 9.64374
10.429, 9.65858
10.3859, 9.6733
10.3428, 9.6879
10.2995, 9.70237
10.256, 9.71672
10.2125, 9.73095
10.1688, 9.74505
10.1249, 9.75903
10.081, 9.77288
10.0369, 9.7866
9.99268, 9.8002
9.94833, 9.81367
9.90385, 9.827
9.85924, 9.84021
9.81449, 9.85329
9.76962, 9.86623
9.72461, 9.87904
9.67947, 9.89172
9.6342, 9.90426
9.5888, 9.91667
9.54327, 9.92894
9.49761, 9.94108
9.45181, 9.95308
9.40588, 9.96494
9.35982, 9.97666
9.31363, 9.98824
9.26731, 9.99968
9.22086, 10.011
9.17427, 10.0221
9.12756, 10.0331
9.08071, 10.044
9.03373, 10.0547
8.98661, 10.0653
8.93937, 10.0757
8.892, 10.086
8.84449, 10.0961
8.79685, 10.1061
8.74908, 10.1159
8.70118, 10.1256
8.65314, 10.1351
8.60498, 10.1445
8.55668, 10.1537
8.50825, 10.1628
8.45969, 10.1716
8.411, 10.1804
8.36218, 10.189
8.31322, 10.1974
8.26414, 10.2056
8.21492, 10.2137
8.16557, 10.2217
8.11609, 10.2294
8.06648, 10.2371
8.01674, 10.2445
7.96687, 10.2518
7.91686, 10.2589
7.86673, 10.2658
7.81646, 10.2726
7.76606, 10.2791
7.71554, 10.2856
7.66488, 10.2918
7.61409, 10.2979
7.56317, 10.3038
7.51212, 10.3095
7.46094, 10.315
7.40963, 10.3204
7.35819, 10.3255
7.30662, 10.3305
7.25492, 10.3353
7.20309, 10.3399
7.15113, 10.3444
7.09904, 10.3486
7.04682, 10.3527
6.99447, 10.3566
6.94199, 10.3602
6.88939, 10.3637
6.83665, 10.367
6.78379, 10.3701
6.7308, 10.373
6.67768, 10.3757
6.62444, 10.3782
6.57106, 10.3805
6.51756, 10.3826
6.46393, 10.3845
6.41017, 10.3862
6.35629, 10.3877
6.30228, 10.389
6.24814, 10.3901
6.19388, 10.3909
6.13949, 10.3916
6.08497, 10.392
6.03033, 10.3923
5.97557, 10.3923
5.92068, 10.3921
5.86566, 10.3917
5.81052, 10.391
5.75526, 10.3901
5.69987, 10.3891
5.64436, 10.3877
5.58873, 10.3862
5.53297, 10.3844
5.4771, 10.3824
5.4211, 10.3802
5.36497, 10.3777
5.30873, 10.375
5.25237, 10.3721
5.19588, 10.3689
5.13928, 10.3655
5.08256, 10.3619
5.02572, 10.358
4.96876, 10.3539
4.91168, 10.3495
4.85448, 10.3448
4.79717, 10.34
4.73974, 10.3348
4.68219, 10.3294
4.62453, 10.3238
4.56675, 10.3179
4.50886, 10.3118
4.45086, 10.3053
4.39274, 10.2987
4.33451, 10.2917
4.27616, 10.2845
4.21771, 10.277
4.15915, 10.2693
4.10047, 10.2613
4.04169, 10.253
3.98279, 10.2444
3.92379, 10.2356
3.86468, 10.2265
3.80547, 10.217
3.74615, 10.2074
3.68672, 10.1974
3.62719, 10.1871
3.56756, 10.1766
3.50782, 10.1657
3.44799, 10.1546
3.38805, 10.1431
3.32801, 10.1314
3.26788, 10.1194
3.20764, 10.107
3.14731, 10.0944
3.08688, 10.0814
3.02636, 10.0682
2.96575, 10.0546
2.90504, 10.0407
2.84424, 10.0265
2.78335, 10.012
2.72237, 9.99714
2.6613, 9.98198
2.60015, 9.96648
2.53891, 9.95066
2.47759, 9.93451
2.41618, 9.91802
2.35469, 9.9012
2.29312, 9.88404
2.23147, 9.86654
2.16975, 9.8487
2.10794, 9.83051
2.04607, 9.81197
1.98412, 9.79308
1.92209, 9.77384
1.86, 9.75425
1.79784, 9.73429
1.73562, 9.71397
1.67332, 9.69329
1.61097, 9.67224
1.54855, 9.65083
1.48608, 9.62904
1.42354, 9.60687
1.36095, 9.58433
1.29831, 9.56141
1.23561, 9.53811
1.17287, 9.51441
1.11007, 9.49033
1.04723, 9.46586
0.984349, 9.441
0.921424, 9.41573
0.85846, 9.39007
0.795459, 9.364
0.732423, 9.33753
0.669356, 9.31065
0.606259, 9.28335
0.543134, 9.25564
0.479985, 9.22752
0.416815, 9.19897
0.353625, 9.17
