x , y
-11.4836, 2.44876
-11.4924, 2.4286
-11.5011, 2.40842
-11.5097, 2.38823
-11.5182, 2.36802
-11.5267, 2.34779
-11.535, 2.32755
-11.5433, 2.30729
-11.5516, 2.28702
-11.5597, 2.26674
-11.5678, 2.24643
-11.5758, 2.22612
-11.5837, 2.20579
-11.5916, 2.18544
-11.5993, 2.16508
-11.607, 2.14471
-11.6147, 2.12432
-11.6222, 2.10392
-11.6297, 2.08351
-11.6371, 2.06308
-11.6444, 2.04264
-11.6516, 2.02219
-11.6588, 2.00172
-11.6659, 1.98124
-11.6729, 1.96075
-11.6799, 1.94024
-11.6868, 1.91972
-11.6936, 1.89919
-11.7003, 1.87865
-11.7069, 1.85809
-11.7135, 1.83753
-11.72, 1.81695
-11.7264, 1.79636
-11.7328, 1.77576
-11.739, 1.75515
-11.7452, 1.73452
-11.7514, 1.71389
-11.7574, 1.69324
-11.7634, 1.67258
-11.7693, 1.65192
-11.7751, 1.63124
-11.7808, 1.61055
-11.7865, 1.58985
-11.7921, 1.56914
-11.7976, 1.54843
-11.8031, 1.5277
-11.8085, 1.50696
-11.8138, 1.48621
-11.819, 1.46546
-11.8241, 1.44469
-11.8292, 1.42391
-11.8342, 1.40313
-11.8391, 1.38234
-11.844, 1.36154
-11.8488, 1.34073
-11.8535, 1.31991
-11.8581, 1.29908
-11.8627, 1.27824
-11.8671, 1.2574
-11.8715, 1.23655
-11.8759, 1.21569
-11.8801, 1.19483
-11.8843, 1.17395
-11.8884, 1.15307
-11.8925, 1.13218
-11.8964, 1.11129
-11.9003, 1.09038
-11.9041, 1.06947
-11.9078, 1.04856
-11.9115, 1.02764
-11.9151, 1.00671
-11.9186, 0.985771
-11.922, 0.96483
-11.9254, 0.943883
-11.9287, 0.922929
-11.9319, 0.90197
-11.9351, 0.881005
-11.9381, 0.860035
-11.9411, 0.83906
-11.944, 0.818079
-11.9469, 0.797093
-11.9496, 0.776102
-11.9523, 0.755107
-11.955, 0.734107
-11.9575, 0.713102
-11.96, 0.692092
-11.9624, 0.671079
-11.9647, 0.650061
-11.967, 0.629039
-11.9691, 0.608014
-11.9712, 0.586984
-11.9733, 0.565951
-11.9752, 0.544915
-11.9771, 0.523875
-11.9789, 0.502832
-11.9806, 0.481785
-11.9823, 0.460736
-11.9839, 0.439684
-11.9854, 0.418629
-11.9868, 0.397572
-11.9882, 0.376512
-11.9895, 0.35545
-11.9907, 0.334385
-11.9918, 0.313319
-11.9929, 0.29225
-11.9939, 0.27118
-11.9948, 0.250108
-11.9956, 0.229035
-11.9964, 0.20796
-11.9971, 0.186884
-11.9977, 0.165806
-11.9983, 0.144728
-11.9987, 0.123649
-11.9991, 0.102569
-11.9994, 0.0814884
-11.9997, 0.0604073
-11.9999, 0.0393258
-12, 0.0182441
-12, -0.00283779
-12, -0.0239196
-11.9998, -0.0450013
-11.9996, -0.0660827
-11.9994, -0.0871637
-11.999, -0.108244
-11.9986, -0.129324
-11.9981, -0.150403
-11.9975, -0.171481
-11.9969, -0.192558
-11.9962, -0.213634
-11.9954, -0.234708
-11.9945, -0.255781
-11.9936, -0.276853
-11.9926, -0.297922
-11.9915, -0.31899
-11.9904, -0.340056
-11.9891, -0.36112
-11.9878, -0.382182
-11.9864, -0.403241
-11.985, -0.424298
-11.9835, -0.445352
-11.9819, -0.466403
-11.9802, -0.487452
-11.9784, -0.508497
-11.9766, -0.529539
-11.9747, -0.550578
-11.9727, -0.571614
-11.9707, -0.592646
-11.9686, -0.613675
-11.9664, -0.634699
-11.9641, -0.65572
-11.9617, -0.676736
-11.9593, -0.697749
-11.9568, -0.718757
-11.9543, -0.739761
-11.9516, -0.76076
-11.9489, -0.781754
-11.9461, -0.802743
-11.9433, -0.823728
-11.9403, -0.844707
-11.9373, -0.865681
-11.9342, -0.88665
-11.9311, -0.907613
-11.9278, -0.928571
-11.9245, -0.949522
-11.9211, -0.970468
-11.9177, -0.991408
-11.9141, -1.01234
-11.9105, -1.03327
-11.9068, -1.05419
-11.9031, -1.0751
-11.8993, -1.09601
-11.8954, -1.11691
-11.8914, -1.13781
-11.8873, -1.15869
-11.8832, -1.17957
-11.879, -1.20044
-11.8747, -1.22131
-11.8704, -1.24216
-11.8659, -1.26301
-11.8614, -1.28385
-11.8569, -1.30469
-11.8522, -1.32551
-11.8475, -1.34633
-11.8427, -1.36714
-11.8378, -1.38794
-11.8329, -1.40873
-11.8279, -1.42951
-11.8228, -1.45028
-11.8176, -1.47104
-11.8123, -1.4918
-11.807, -1.51254
-11.8016, -1.53328
-11.7962, -1.554
-11.7906, -1.57472
-11.785, -1.59543
-11.7793, -1.61612
-11.7735, -1.63681
-11.7677, -1.65748
-11.7618, -1.67815
-11.7558, -1.6988
-11.7497, -1.71944
-11.7436, -1.74008
-11.7374, -1.7607
-11.7311, -1.78131
-11.7247, -1.8019
-11.7182, -1.82249
-11.7117, -1.84307
-11.7051, -1.86363
-11.6985, -1.88418
-11.6917, -1.90472
-11.6849, -1.92525
-11.678, -1.94576
-11.6711, -1.96626
-11.664, -1.98675
-11.6569, -2.00723
-11.6497, -2.02769
-11.6424, -2.04815
-11.6351, -2.06858
-11.6277, -2.08901
-11.6202, -2.10942
-11.6126, -2.12981
-11.605, -2.1502
-11.5972, -2.17057
-11.5895, -2.19092
-11.5816, -2.21126
-11.5736, -2.23159
-11.5656, -2.2519
-11.5575, -2.2722
-11.5494, -2.29248
-11.5411, -2.31275
-11.5328, -2.333
-11.5244, -2.35324
-11.5159, -2.37346
-11.5074, -2.39367
-11.4987, -2.41386
-11.49, -2.43403
-11.4813, -2.45419
-11.4724, -2.47433
-11.4635, -2.49446
-11.4545, -2.51457
-11.4454, -2.53466
-11.4362, -2.55474
-11.427, -2.5748
-11.4177, -2.59484
-11.4083, -2.61486
-11.3989, -2.63487
-11.3893, -2.65486
-11.3797, -2.67483
-11.37, -2.69479
-11.3603, -2.71472
-11.3504, -2.73464
-11.3405, -2.75454
-11.3305, -2.77442
-11.3205, -2.79428
-11.3103, -2.81413
-11.3001, -2.83395
-11.2898, -2.85376
-11.2794, -2.87354
-11.269, -2.89331
-11.2585, -2.91306
-11.2479, -2.93279
-11.2372, -2.95249
-11.2264, -2.97218
-11.2156, -2.99185
-11.2047, -3.0115
-11.1937, -3.03112
-11.1827, -3.05073
-11.1715, -3.07031
-11.1603, -3.08988
-11.149, -3.10942
-11.1377, -3.12894
-11.1262, -3.14844
-11.1147, -3.16792
-11.1031, -3.18737
-11.0914, -3.20681
-11.0797, -3.22622
-11.0679, -3.24561
-11.056, -3.26498
-11.044, -3.28432
-11.0319, -3.30364
-11.0198, -3.32294
-11.0076, -3.34221
-10.9953, -3.36147
-10.9829, -3.38069
-10.9705, -3.3999
-10.958, -3.41908
-10.9454, -3.43823
-10.9327, -3.45737
-10.9199, -3.47647
-10.9071, -3.49556
-10.8942, -3.51461
-10.8812, -3.53365
-10.8682, -3.55265
-10.855, -3.57164
-10.8418, -3.59059
-10.8285, -3.60952
-10.8151, -3.62843
-10.8017, -3.64731
-10.7882, -3.66616
-10.7745, -3.68499
-10.7609, -3.70379
-10.7471, -3.72256
-10.7333, -3.74131
-10.7193, -3.76002
-10.7054, -3.77872
-10.6913, -3.79738
-10.6771, -3.81602
-10.6629, -3.83462
-10.6486, -3.8532
-10.6342, -3.87176
-10.6197, -3.89028
-10.6052, -3.90877
-10.5906, -3.92724
-10.5759, -3.94568
-10.5611, -3.96408
-10.5462, -3.98246
-10.5313, -4.00081
-10.5163, -4.01913
-10.5012, -4.03742
-10.486, -4.05568
-10.4708, -4.0739
-10.4555, -4.0921
-10.4401, -4.11027
-10.4246, -4.1284
-10.409, -4.14651
-10.3934, -4.16458
-10.3776, -4.18262
-10.3618, -4.20063
-10.346, -4.21861
-10.33, -4.23655
-10.314, -4.25446
-10.2978, -4.27234
-10.2816, -4.29019
-10.2654, -4.308
-10.249, -4.32578
-10.2326, -4.34353
-10.2161, -4.36124
-10.1995, -4.37892
-10.1828, -4.39657
-10.166, -4.41418
-10.1492, -4.43175
-10.1323, -4.44929
-10.1153, -4.4668
-10.0982, -4.48427
-10.0811, -4.50171
-10.0638, -4.51911
-10.0465, -4.53647
-10.0291, -4.5538
-10.0117, -4.57109
-9.99412, -4.58834
-9.97649, -4.60556
-9.95877, -4.62274
-9.94098, -4.63989
-9.92311, -4.65699
-9.90515, -4.67406
-9.88712, -4.69109
-9.86901, -4.70809
-9.85081, -4.72504
-9.83254, -4.74195
-9.81418, -4.75883
-9.79574, -4.77567
-9.77723, -4.79247
-9.75863, -4.80923
-9.73995, -4.82594
-9.72119, -4.84262
-9.70235, -4.85926
-9.68343, -4.87586
-9.66442, -4.89241
-9.64534, -4.90893
-9.62618, -4.92541
-9.60693, -4.94184
-9.5876, -4.95823
-9.56819, -4.97458
-9.5487, -4.99088
-9.52913, -5.00715
-9.50948, -5.02337
-9.48974, -5.03955
-9.46993, -5.05568
-9.45003, -5.07177
-9.43005, -5.08782
-9.40999, -5.10383
-9.38984, -5.11978
-9.36962, -5.1357
-9.34931, -5.15157
-9.32892, -5.16739
-9.30845, -5.18317
-9.2879, -5.1989
-9.26726, -5.21459
-9.24654, -5.23023
-9.22574, -5.24583
-9.20486, -5.26137
-9.1839, -5.27687
-9.16285, -5.29233
-9.14172, -5.30773
-9.12051, -5.32309
-9.09921, -5.3384
-9.07784, -5.35366
-9.05638, -5.36887
-9.03483, -5.38404
-9.01321, -5.39915
-8.9915, -5.41421
-8.96971, -5.42923
-8.94783, -5.44419
-8.92588, -5.4591
-8.90383, -5.47397
-8.88171, -5.48878
-8.8595, -5.50354
-8.83721, -5.51824
-8.81484, -5.5329
-8.79238, -5.5475
-8.76984, -5.56206
-8.74722, -5.57655
-8.72451, -5.591
-8.70172, -5.60539
-8.67884, -5.61973
-8.65588, -5.63401
-8.63284, -5.64824
-8.60971, -5.66241
-8.5865, -5.67653
-8.56321, -5.69059
-8.53983, -5.7046
-8.51637, -5.71855
-8.49282, -5.73244
-8.46919, -5.74628
-8.44548, -5.76006
-8.42168, -5.77378
-8.39779, -5.78745
-8.37382, -5.80106
-8.34977, -5.8146
-8.32563, -5.82809
-8.30141, -5.84152
-8.27711, -5.85489
-8.25271, -5.8682
-8.22824, -5.88145
-8.20368, -5.89464
-8.17903, -5.90777
-8.1543, -5.92084
-8.12948, -5.93385
-8.10458, -5.94679
-8.0796, -5.95967
-8.05453, -5.97249
-8.02937, -5.98524
-8.00413, -5.99793
-7.9788, -6.01056
-7.95339, -6.02313
-7.92789, -6.03562
-7.90231, -6.04806
-7.87664, -6.06043
-7.85088, -6.07273
-7.82504, -6.08496
-7.79912, -6.09713
-7.77311, -6.10923
-7.74701, -6.12127
-7.72083, -6.13324
-7.69456, -6.14513
-7.6682, -6.15696
-7.64176, -6.16873
-7.61523, -6.18042
-7.58862, -6.19204
-7.56192, -6.20359
-7.53514, -6.21507
-7.50826, -6.22648
-7.48131, -6.23782
-7.45426, -6.24908
-7.42713, -6.26028
-7.39991, -6.2714
-7.37261, -6.28245
-7.34522, -6.29342
-7.31774, -6.30432
-7.29018, -6.31514
-7.26253, -6.32589
-7.23479, -6.33657
-7.20697, -6.34717
-7.17906, -6.35769
-7.15106, -6.36813
-7.12298, -6.3785
-7.09481, -6.38879
-7.06655, -6.399
-7.0382, -6.40913
-7.00977, -6.41919
-6.98125, -6.42916
-6.95265, -6.43905
-6.92395, -6.44887
-6.89517, -6.4586
-6.86631, -6.46825
-6.83735, -6.47781
-6.80831, -6.4873
-6.77918, -6.4967
-6.74996, -6.50602
-6.72066, -6.51525
-6.69127, -6.5244
-6.66179, -6.53347
-6.63222, -6.54244
-6.60257, -6.55134
-6.57282, -6.56014
-6.54299, -6.56886
-6.51308, -6.57749
-6.48307, -6.58603
-6.45298, -6.59448
-6.4228, -6.60284
-6.39253, -6.61111
-6.36218, -6.6193
-6.33174, -6.62739
-6.30121, -6.63539
-6.27059, -6.64329
-6.23988, -6.6511
-6.20909, -6.65882
-6.17821, -6.66645
-6.14724, -6.67398
-6.11618, -6.68142
-6.08504, -6.68876
-6.0538, -6.696
-6.02248, -6.70315
-5.99108, -6.71019
-5.95958, -6.71714
-5.928, -6.724
-5.89633, -6.73075
-5.86457, -6.7374
-5.83272, -6.74395
-5.80079, -6.7504
-5.76876, -6.75675
-5.73665, -6.76299
-5.70445, -6.76913
-5.67217, -6.77517
-5.6398, -6.7811
-5.60733, -6.78693
-5.57479, -6.79265
-5.54215, -6.79826
-5.50943, -6.80377
-5.47661, -6.80916
-5.44372, -6.81445
-5.41073, -6.81963
-5.37765, -6.8247
-5.34449, -6.82966
-5.31124, -6.83451
-5.27791, -6.83924
-5.24448, -6.84386
-5.21097, -6.84837
-5.17738, -6.85276
-5.14369, -6.85704
-5.10992, -6.8612
-5.07606, -6.86524
-5.04211, -6.86917
-5.00808, -6.87298
-4.97396, -6.87667
-4.93975, -6.88024
-4.90546, -6.88368
-4.87108, -6.88701
-4.83661, -6.89021
-4.80206, -6.8933
-4.76742, -6.89625
-4.73269, -6.89908
-4.69788, -6.90179
-4.66298, -6.90437
-4.628, -6.90682
-4.59293, -6.90915
-4.55777, -6.91134
-4.52253, -6.91341
-4.4872, -6.91534
-4.45179, -6.91715
-4.41629, -6.91882
-4.38071, -6.92035
-4.34504, -6.92176
-4.30929, -6.92302
-4.27345, -6.92415
-4.23752, -6.92515
-4.20152, -6.926
-4.16543, -6.92672
-4.12925, -6.9273
-4.09299, -6.92774
-4.05665, -6.92803
-4.02022, -6.92818
-3.98371, -6.92819
-3.94712, -6.92805
-3.91044, -6.92777
-3.87368, -6.92734
-3.83684, -6.92676
-3.79991, -6.92604
-3.76291, -6.92516
-3.72582, -6.92413
-3.68865, -6.92295
-3.6514, -6.92162
-3.61406, -6.92014
-3.57665, -6.9185
-3.53915, -6.9167
-3.50158, -6.91474
-3.46392, -6.91263
-3.42619, -6.91036
-3.38837, -6.90793
-3.35048, -6.90533
-3.3125, -6.90257
-3.27445, -6.89965
-3.23632, -6.89656
-3.19811, -6.89331
-3.15982, -6.88989
-3.12146, -6.8863
-3.08302, -6.88254
-3.0445, -6.87861
-3.00591, -6.87451
-2.96724, -6.87023
-2.92849, -6.86578
-2.88967, -6.86115
-2.85078, -6.85634
-2.81181, -6.85136
-2.77276, -6.8462
-2.73365, -6.84085
-2.69446, -6.83533
-2.65519, -6.82961
-2.61586, -6.82372
-2.57646, -6.81763
